Department,NRMSE 0-19 Training,NRMSE All Training,NRMSE 0-19 Validation,NRMSE All Validation,MAE (DengRate_all) Val,MAE (DengRate_019) Val
Rondônia,0.027611565564981046,inf,0.08844951330563186,0.06120295823976406,9.905326013891132,7.499101141443508
Acre,0.022804305824049326,inf,0.12979803945725396,0.03774314367357166,26.825760569303025,30.616759943274882
Amazonas,0.09968672767593671,0.026464414692792832,0.3721272582837031,0.05174732941762282,5.21975127654837,5.367298282245776
Roraima,0.11522983431532885,0.029383465370658148,0.06122662293745514,0.026973895520503697,4.324093282352777,13.364112854915192
Pará,0.09837090804849637,0.04247789116294944,0.2566390411463472,0.03643622316043592,6.064189634524458,17.69749532692502
Amapá,0.0220715807410727,0.014455570659864582,0.10423607104915106,0.0443964389496208,7.613737959075631,17.378998115830168
Tocantins,8.072425828588873,3527.663999429703,0.043084520133090644,0.1866722186062418,3.560639647040054,6.38211235758887
Maranhão,0.2139802462556579,0.20833333333333334,0.09844789196572534,0.025118141003790305,7.329158772391364,6.334865026641446
Piauí,2.2306757820189638e+26,5.072370800810782e+37,0.13565353316960083,0.027810094989772202,17.168065297805544,8.755778872301933
Ceará,0.21398024625565792,0.20833333333333331,0.04703726818225826,0.027877982843528357,7.094256078455916,5.789658533233211
Rio Grande do Norte,0.0260200144500477,2.799343871885844e+72,0.0855394004332217,0.02120103140100281,9.569518151855059,7.744597493224856
Paraíba,0.01636604250419871,0.02184318257609201,1.0801586100874312,0.027038822784414378,13.562881777531272,6.707424709748071
Pernambuco,0.17617060304309592,25983.378234512827,0.11119734888901132,0.029569767852315947,7.276483183111701,4.94302676403847
Alagoas,12628469497.61267,0.20833333333333337,0.03365653086140399,0.24633653486525042,11.187046841377574,5.023516563898645
Sergipe,0.10358436226717084,0.02334003070246207,0.2854667607464907,0.02831152308500573,17.60211538869624,4.4552802246452785
Bahia,0.11161737709217195,0.02279284740222682,0.05098594657268701,0.02685869801586699,8.597518642713501,4.063533426097879
Minas Gerais,0.21198698325942705,0.030936956797542086,0.04411911101604365,0.025159904201113834,13.542241517162017,6.847063218720209
Espírito Santo,0.05342569826378949,0.022023912361686795,0.043086079730734306,0.08899059608109681,10.010929866031598,5.463146472625685
Rio de Janeiro,53.51715166666583,0.20833333333333331,0.06510492664999984,0.02417323343057189,7.2566640432199465,10.354783208654956
São Paulo,9722854926481.326,0.20833333333333334,0.028693961692534,0.04394743782539469,16.889699436875045,7.04730207760377
Paraná,7.470711081662238e+26,0.20833333333333331,0.058610804859243235,0.0268345829002466,7.454580726395295,7.2205123413450165
Santa Catarina,1.139272836692059e+39,0.20833333333333334,0.06173197433946938,0.033153731822336774,8.893266067994006,4.85074767569987
Rio Grande do Sul,1.7315656331787456e+51,0.20833333333333334,0.08260821473250404,0.0405406868044194,10.98652056219129,11.746637506412144
Mato Grosso do Sul,0.03775401858175805,0.022867782992992258,0.03502781949084365,0.02432807551819986,13.1386303214193,7.919093556358476
Mato Grosso,5.791784609824461,0.20833333333333334,0.08307435225694604,0.020969634029486917,6.19841133522777,7.000294688895042
Goiás,0.013347896638403566,0.019033695635720403,0.05556194472230861,0.027028480237066655,16.666014033585828,7.4646010467985064
Distrito Federal,0.09936097516942329,195.88041372968374,inf,0.09693843343179545,7.821875448289863,1.5288023438890601
