Department,NRMSE 0-19 Training,NRMSE All Training,NRMSE 0-19 Validation,NRMSE All Validation,MAE (DengRate_all) Val,MAE (DengRate_019) Val
Rondônia,0.008479960646914503,,0.03206710051385816,0.018610798872120277,2.9780096288176043,3.153722761198638
Acre,0.0063222157262147055,inf,0.08540342415256234,0.04689961531333704,21.977532074023173,13.124587134701871
Amazonas,0.010846286288074429,0.0024496505490708732,0.28606328985385765,0.03989507259305797,4.058209085854741,4.169860079786171
Roraima,0.023414557592808465,0.008479562942298024,0.011568741988131072,0.006227490923935778,1.1914782119532077,2.218909412620283
Pará,0.020058086060435812,0.008405202459376673,0.06633876250415917,0.011966691193517337,2.578801095821334,4.669886953700996
Amapá,0.007229326133940488,0.003623736488497247,0.02609024340264469,0.011165336453614045,1.983075201697214,3.9173683191863007
Tocantins,1.5119708696848924,34179.60895460462,0.018851791270410555,0.1454429934220442,2.363515153967042,2.4362048657231115
Maranhão,0.2139802462556579,0.20833333333333334,0.0346020016617362,0.010553291603859023,2.742013102647188,2.1863777925420265
Piauí,0.21398024625565792,2.4985435590266407e+37,0.029917576628345717,0.009130507312250824,5.444320166665175,1.9297139241273331
Ceará,4.532789761254992e+37,6.583808861370773e+54,0.03178237093575534,0.009075784383126718,2.212976988739049,3.5500013163322923
Rio Grande do Norte,0.004731444466892727,1.0347192961447712e+72,0.036634905377774536,0.008807502062437059,3.46719530721368,3.7564539356721354
Paraíba,0.0035958398590632537,0.0018310651079940891,0.48389802840060314,0.010668781273392366,5.150038200567155,3.422036277817161
Pernambuco,0.012290841879672568,1064.0338717843936,0.04502803641238074,0.008279029115785076,2.2020709386351216,2.105468280801974
Alagoas,23590714723.095234,5.249147459829498e+20,0.032406475078267265,0.09017464038302128,4.03166105978122,4.726459438677963
Sergipe,0.018656251760765605,0.0033226136015952006,0.4483918632409494,0.025912969391414156,14.058115183221622,8.698515544737427
Bahia,0.0441057964672891,0.0038036079990319753,0.04990612327077422,0.00831514947958629,2.7504846886255048,3.9016571389435675
Minas Gerais,0.17882012409424713,0.012202066413985295,0.0239600416633265,0.008806639169493063,4.695567811823019,3.750962095183366
Espírito Santo,0.024459717208815176,0.009647300263255203,0.04009541087910054,0.039638994366046565,4.858728781977558,4.579485588475387
Rio de Janeiro,4.73998988821724,46733.6435059925,0.07731477080817646,0.007540066912795842,2.4099291433122656,10.424395597069228
São Paulo,3697749938166.118,2.364595580614723e+21,0.0255899048702328,0.010838166794368494,3.1690434069805016,6.6186162509509145
Paraná,5.575604167069707e+24,1.7261382398699304e+38,0.030495346622976868,0.010040624040068166,2.8440940236633594,3.6533782814927687
Santa Catarina,0.2139802462556579,0.20833333333333334,0.028251919103866985,0.010002422136432241,2.990702883093508,2.2628684994427215
Rio Grande do Sul,0.21398024625565792,8.859336705284417e+70,0.060188563975826365,0.012750530574232866,3.64669354334591,6.294520566667598
Mato Grosso do Sul,0.00906239698800336,0.001048122655293819,0.027068592703098606,0.011639159960498094,4.267510891428518,6.447166369609577
Mato Grosso,2.0356141777705736,0.20833333333333334,0.06382517379400968,0.010719382593045258,3.258270786850782,5.412866232633394
Goiás,0.00030913648759410263,0.0018814866822798179,0.04669673855658191,0.03313160322490091,13.223566178527372,5.597317404577493
Distrito Federal,0.015939912791874022,16.925878597383505,inf,0.0729829619731166,6.332684593567265,1.1672868008328232
