Department,NRMSE 0-19 Training,NRMSE All Training,NRMSE 0-19 Validation,NRMSE All Validation,MAE (DengRate_all) Val,MAE (DengRate_019) Val
Rondônia,0.05769920434002616,0.03592462976510706,0.05769920434002616,0.03592462976510706,5.963111019399869,6.107194456617847
Acre,0.09096334580504489,0.058737577951757276,0.09096334580504489,0.058737577951757276,26.98640787193098,18.185313755949853
Amazonas,0.150471067379461,0.029264266501948567,0.150471067379461,0.029264266501948567,2.976061293030496,1.9377118184904256
Roraima,0.04055350193202783,0.022181268425777258,0.04055350193202783,0.022181268425777258,3.536500915987627,7.2490600332580515
Pará,0.10718287051134433,0.013994825090854923,0.10718287051134433,0.013994825090854923,2.4728379831316256,7.891503539203501
Amapá,0.06192665310950058,0.03344734463669187,0.06192665310950058,0.03344734463669187,5.703870688817484,9.482873105326254
Tocantins,0.03766058926386559,0.14113175724804475,0.03766058926386559,0.14113175724804475,2.818580209117234,6.800480924996889
Maranhão,0.061189190895191425,0.014447775506883738,0.061189190895191425,0.014447775506883738,4.2385825229968495,4.22550722320696
Piauí,0.05716801812680312,0.05714307684171152,0.05716801812680312,0.05714307684171152,24.80595458800553,3.904355988036755
Ceará,0.03969360661839306,0.0150851273363381,0.03969360661839306,0.0150851273363381,2.993713846817536,5.36840124677486
Rio Grande do Norte,0.07005025197599078,0.07246174827441822,0.07005025197599078,0.07246174827441822,17.91627464184258,7.656305646585099
Paraíba,0.5510079778793607,0.047969567123673944,0.5510079778793607,0.047969567123673944,16.88930591395611,4.051365013262717
Pernambuco,0.05814104863125798,0.009433971095870523,0.05814104863125798,0.009433971095870523,2.57095617846424,2.67355571131486
Alagoas,0.06034644759943309,0.12027300868891562,0.06034644759943309,0.12027300868891562,5.354421024748654,9.223353997186038
Sergipe,0.24096763816496927,0.07117738951748438,0.24096763816496927,0.07117738951748438,31.020020646777088,3.3524349071044237
Bahia,0.058860479423594333,0.034218823418364255,0.058860479423594333,0.034218823418364255,6.377225140763364,5.180631127752694
Minas Gerais,0.04524806016089372,0.06388498939048466,0.04524806016089372,0.06388498939048466,25.642119371262343,5.93830760394052
Espírito Santo,0.061162936752596084,0.04970014460396672,0.061162936752596084,0.04970014460396672,4.899762887647582,7.854031484702854
Rio de Janeiro,0.0629254271138201,0.014325745946906892,0.0629254271138201,0.014325745946906892,3.129360622149211,8.462052450931408
São Paulo,0.09027875266115296,0.03948839653781175,0.09027875266115296,0.03948839653781175,8.027801061302887,13.137972777593816
Paraná,0.04921742610019595,0.03465196489193345,0.04921742610019595,0.03465196489193345,6.268611632681747,5.586854655385944
Santa Catarina,0.027105225441714106,0.0374556206458345,0.027105225441714106,0.0374556206458345,6.328619021578817,2.043093344844038
Rio Grande do Sul,0.055547324922075945,0.027952553299543582,0.055547324922075945,0.027952553299543582,5.799749605952645,6.237227967038348
Mato Grosso do Sul,0.09904332904737762,0.03186466704413808,0.09904332904737762,0.03186466704413808,12.044921420080941,17.067817331190074
Mato Grosso,0.07630986477464034,0.010315304834402322,0.07630986477464034,0.010315304834402322,3.0631285305987324,6.581052513989337
Goiás,0.06339911096230809,0.0746718097351878,0.06339911096230809,0.0746718097351878,33.70957045143917,8.116514046011247
Distrito Federal,inf,0.21753924171137917,inf,0.21753924171137917,10.981575477436428,4.55760774697687
